,Unnamed: 0,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Month,Year,Numerator,Day_Perc_Change,Trend,Daily Return,SMA21,SMA34,average,std,Upper band,Lower band
10,10,RELINFRA,EQ,2017-05-29,508.5,506.0,506.0,445.6,454.3,451.95,466.94,5113595,2387719101.0,88914,861145,16.84,5,2017,2387742049.3,-0.11120943952802363,Bear drop,-0.10681818181818184,,,,,,
11,11,RELINFRA,EQ,2017-05-30,451.95,453.95,470.8,436.2,463.1,462.0,459.37,4198597,1928711217.0,65104,312264,7.44,5,2017,1928709503.89,0.02223697311649531,Positive,0.017733230531996942,,,,,,
12,12,RELINFRA,EQ,2017-05-31,462.0,464.0,484.0,455.25,480.8,478.9,470.56,5799887,2729195043.0,80462,1294401,22.32,5,2017,2729194826.72,0.03658008658008649,Among top gainers,0.032112068965517195,,,,,,
13,13,RELINFRA,EQ,2017-06-01,478.9,481.0,487.9,475.2,477.85,479.6,481.61,2584206,1244574504.0,38796,227711,8.81,6,2017,1244579451.66,0.0014616830235958391,Slight or No change,-0.0029106029106028635,,,530.2285714285714,56.31298427363081,642.8545399758331,417.6026028813098
14,14,RELINFRA,EQ,2017-06-02,479.6,482.1,490.7,478.65,485.15,484.05,484.88,2517358,1220604072.0,41140,511152,20.31,6,2017,1220616547.04,0.009278565471225964,Slight positive,0.004044803982576205,,,521.5607142857142,53.0999427008651,627.7605996874444,415.360828883984
15,15,RELINFRA,EQ,2017-06-05,484.05,491.3,498.5,489.25,491.5,492.3,493.68,2178491,1075478230.0,42944,392749,18.03,6,2017,1075477436.88,0.017043693833281637,Positive,0.002035416242621616,,,513.0785714285714,46.81835075088569,606.7152729303428,419.44186992680005
16,16,RELINFRA,EQ,2017-06-06,492.3,496.45,496.85,470.9,480.7,480.15,480.85,2543392,1222999514.0,42291,475996,18.72,6,2017,1222990043.2,-0.024680073126142617,Negative,-0.03283311511733309,,,504.14285714285705,39.19018154678952,582.5232202364361,425.762494049278
17,17,RELINFRA,EQ,2017-06-07,480.15,479.25,491.5,476.05,488.0,488.6,484.27,2814064,1362780526.0,43628,198945,7.07,6,2017,1362766773.28,0.017598667083203345,Positive,0.019509650495566036,,,497.7107142857143,32.9070554661237,563.5248252179617,431.8966033534669
18,18,RELINFRA,EQ,2017-06-08,488.6,489.9,491.9,478.2,478.65,480.95,484.24,1959745,948989990.4,52147,517020,26.38,6,2017,948986918.8,-0.01565697912402786,Negative,-0.018269034496836065,,,491.3821428571428,25.775201313418385,542.9325454839795,439.831740230306
19,19,RELINFRA,EQ,2017-06-09,480.95,478.9,478.9,466.6,473.6,473.95,471.82,2465174,1163116402.0,38166,579770,23.52,6,2017,1163118396.68,-0.01455452749766084,Negative,-0.010336187095426996,,,485.57499999999993,18.375043171063673,522.3250863421273,448.82491365787257
20,20,RELINFRA,EQ,2017-06-12,473.95,467.9,477.9,467.0,471.0,471.85,472.94,1476969,698516764.2,26489,177803,12.04,6,2017,698517718.86,-0.004430847135773797,Slight or No change,0.008441974780936196,514.0500000000001,,481.6892857142857,14.443220109894094,510.5757259340739,452.8028454944975
21,21,RELINFRA,EQ,2017-06-13,471.85,470.1,479.5,465.5,467.0,470.2,473.54,1878876,889718325.1,31616,279165,14.86,6,2017,889722941.0400002,-0.00349687400656995,Slight or No change,0.00021272069772381596,507.61190476190484,,480.01071428571424,14.304883224477086,508.62048073466843,451.40094783676005
22,22,RELINFRA,EQ,2017-06-14,470.2,469.8,476.55,462.75,474.6,473.95,469.76,2245218,1054717443.0,33547,191090,8.51,6,2017,1054713607.68,0.007975329646958684,Slight positive,0.00883354618986798,501.0833333333335,,478.3535714285714,13.487080203571645,505.3277318357147,451.3794110214281
23,23,RELINFRA,EQ,2017-06-15,473.95,472.9,479.4,470.75,474.0,475.85,475.65,1527861,726721640.7,22896,206956,13.55,6,2017,726727084.65,0.004008861694271726,Slight or No change,0.006238105307676138,494.92142857142875,,476.0214285714286,10.325597659843162,496.67262389111494,455.37023325174226
24,24,RELINFRA,EQ,2017-06-16,475.85,477.0,485.6,475.0,478.0,479.55,480.61,1904792,915467315.4,29501,273514,14.36,6,2017,915462083.12,0.007775559525060371,Slight positive,0.0053459119496855586,490.20238095238113,,477.9928571428572,7.669315914304127,493.33148897146543,462.65422531424895
25,25,RELINFRA,EQ,2017-06-19,479.55,481.1,486.5,480.5,486.0,484.65,484.16,1275237,617424186.9,19766,157651,12.36,6,2017,617418745.9200001,0.010634970284641776,Positive,0.007378923300768976,486.159523809524,,479.6107142857143,6.303484340835409,492.21768296738514,467.0037456040435
26,26,RELINFRA,EQ,2017-06-20,484.65,487.0,489.5,478.0,480.4,479.95,482.88,1194474,576784920.2,18323,188356,15.77,6,2017,576787605.12,-0.00969772000412672,Slight negative,-0.01447638603696101,482.57380952380976,,479.6857142857143,6.300623551907344,492.286961389529,467.08446718189964
27,27,RELINFRA,EQ,2017-06-21,479.95,477.7,493.8,477.5,490.25,490.2,488.29,2101331,1026060364.0,31922,480858,22.88,6,2017,1026058913.99,0.021356391290759502,Positive,0.026167050450073268,480.8571428571431,,480.4428571428571,6.89810055078814,494.2390582444334,466.64665604128083
