,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Month,Year,Numerator,Day_Perc_Change,Trend
244,RELINFRA,EQ,2018-05-08,449.6,448.1,449.45,437.6,439.4,440.0,441.68,2304581,1017886577.0,39093,408794,17.74,5,2018,1017887336.08,-0.02135231316725983,Negative
245,RELINFRA,EQ,2018-05-09,440.0,438.0,439.2,424.25,426.0,426.3,430.57,2646756,1139608957.0,40822,801533,30.28,5,2018,1139613730.92,-0.03113636363636363,Among top losers
246,RELINFRA,EQ,2018-05-10,426.3,430.95,431.5,413.1,413.55,414.55,419.65,2253793,945802382.8,32623,337698,14.98,5,2018,945804232.4499999,-0.02756274923762614,Negative
247,RELINFRA,EQ,2018-05-11,414.55,417.05,421.25,408.55,414.15,415.9,415.56,1775490,737821760.0,24769,228058,12.84,5,2018,737822624.4,0.0032565432396574057,Slight or No change
248,RELINFRA,EQ,2018-05-14,415.9,414.5,414.5,390.3,395.9,396.15,398.06,4427283,1762330536.0,50986,467514,10.56,5,2018,1762324270.98,-0.04748737677326276,Among top losers
249,RELINFRA,EQ,2018-05-15,396.15,394.7,406.55,382.6,384.5,386.9,393.99,3763351,1482705609.0,42240,327093,8.69,5,2018,1482722660.49,-0.023349741259623857,Negative
250,RELINFRA,EQ,2018-05-16,386.9,382.5,391.45,375.1,386.0,385.3,383.17,3099881,1187794722.0,34404,293123,9.46,5,2018,1187781402.77,-0.004135435513052399,Slight or No change
251,RELINFRA,EQ,2018-05-17,385.3,390.1,405.5,384.3,396.05,397.75,395.42,4432642,1752741152.0,58351,648492,14.63,5,2018,1752755299.64,0.032312483778873524,Among top gainers
252,RELINFRA,EQ,2018-05-18,397.75,397.2,406.0,386.55,393.1,393.05,397.09,4023644,1597737674.0,45329,882798,21.94,5,2018,1597748795.9599998,-0.011816467630421101,Negative
253,RELINFRA,EQ,2018-05-21,393.05,393.0,402.4,389.0,396.3,396.0,394.86,2700916,1066481165.0,36139,670955,24.84,5,2018,1066483691.76,0.007505406436840056,Slight positive
254,RELINFRA,EQ,2018-05-22,396.0,396.35,404.4,392.25,400.0,400.8,398.83,2250645,897619020.9,27415,350007,15.55,5,2018,897624745.3499999,0.0121212121212122,Positive
255,RELINFRA,EQ,2018-05-23,400.8,400.3,414.25,398.0,408.5,407.2,408.33,3071553,1254222241.0,34209,857284,27.91,5,2018,1254207236.49,0.015968063872255467,Positive
256,RELINFRA,EQ,2018-05-24,407.2,409.0,411.3,400.7,408.4,407.4,406.75,1614262,656607221.0,20910,184297,11.42,5,2018,656601068.5,0.0004911591355598599,Slight or No change
257,RELINFRA,EQ,2018-05-25,407.4,409.45,423.95,407.0,417.95,418.25,416.88,2244334,935622105.9,27501,227174,10.12,5,2018,935617957.92,0.02663230240549841,Positive
258,RELINFRA,EQ,2018-05-28,418.25,419.95,434.4,415.0,429.0,429.7,427.45,2143562,916273446.5,26010,244972,11.43,5,2018,916265576.9,0.027375971309025582,Positive
259,RELINFRA,EQ,2018-05-29,429.7,430.0,433.6,422.8,425.85,426.8,428.03,1738632,744183964.5,21485,167705,9.65,5,2018,744186654.9599999,-0.006748894577612186,Slight negative
260,RELINFRA,EQ,2018-05-30,426.8,421.55,438.55,421.15,429.9,430.85,432.19,2285641,987839044.6,36134,290539,12.71,5,2018,987831183.79,0.009489222118088225,Slight positive
261,RELINFRA,EQ,2018-05-31,430.85,441.0,447.8,423.0,435.0,434.75,432.53,3062197,1324502831.0,37940,463480,15.14,5,2018,1324492068.4099998,0.009051874202158361,Slight positive
262,RELINFRA,EQ,2018-06-01,434.75,436.0,436.95,418.4,426.6,426.9,426.5,1802583,768808344.4,23492,96862,5.37,6,2018,768801649.5,-0.01805635422656704,Negative
263,RELINFRA,EQ,2018-06-04,426.9,429.2,436.35,426.0,429.4,430.25,430.96,1761375,759088772.0,23904,160678,9.12,6,2018,759082170.0,0.007847271023659008,Slight positive
264,RELINFRA,EQ,2018-06-05,430.25,430.0,430.5,408.25,415.95,415.4,417.58,2698548,1126863929.0,37576,219094,8.12,6,2018,1126859673.84,-0.03451481696687975,Among top losers
265,RELINFRA,EQ,2018-06-06,415.4,415.5,428.55,413.3,426.9,427.15,422.89,1600166,676700327.8,21517,148020,9.25,6,2018,676694199.74,0.028285989407799805,Positive
266,RELINFRA,EQ,2018-06-07,427.15,428.4,446.4,427.05,440.95,441.95,438.59,2406604,1055518203.0,36729,298458,12.4,6,2018,1055512448.3599999,0.03464825002926375,Among top gainers
267,RELINFRA,EQ,2018-06-08,441.95,437.9,441.8,432.0,438.75,438.8,437.01,1408820,615672713.3,19958,70140,4.98,6,2018,615668428.1999999,-0.007127503111211575,Slight negative
268,RELINFRA,EQ,2018-06-11,438.8,440.0,445.35,435.75,438.5,437.5,439.87,1078909,474574813.0,21344,77605,7.19,6,2018,474579701.83,-0.0029626253418414406,Slight or No change
269,RELINFRA,EQ,2018-06-12,437.5,435.0,444.0,427.6,438.8,440.1,435.85,1928692,840614810.5,26224,262279,13.6,6,2018,840620408.2,0.00594285714285725,Slight positive
270,RELINFRA,EQ,2018-06-13,440.1,438.8,446.6,437.2,439.15,439.65,440.89,1738749,766598718.9,24238,164439,9.46,6,2018,766597046.61,-0.0010224948875257045,Slight or No change
271,RELINFRA,EQ,2018-06-14,439.65,434.55,438.0,429.25,435.1,435.55,434.07,1406136,610360932.4,19910,73146,5.2,6,2018,610361453.52,-0.00932559990901849,Slight negative
